name,code,article_category_code
국회/정당,1201,1200
청와대,1202,1200
정치인물,1205,1200
금융,1401,1400
산업,1402,1400
재정,1403,1400
글로벌경제,1502,1400
경제인물,1404,1400
지구촌소식,1501,1500
외교/국방,1203,1500
통일,1204,1500
외교/국방/통일인물,1503,1500
사건/사고,1601,1600
법률,1602,1600
교육,1603,1600
노동,1604,1600
환경,1605,1600
보건복지,1606,1600
시민사회,1607,1600
뉴스플러스,1608,1600
사회인물,1609,1600
도서관,1701,1700
여행/레저,1703,1700
출판/서평,1702,1700
예술,1704,1700
문화인물,1706,1700
내일북,1705,1700
행정,1301,1300
단체장,1307,1300
지방자치인물,1309,1300
지방선거,1308,1300
지역내일,1310,1300
서울,1302,1300
경기인천강원,1303,1300
충청,1304,1300
영남,1305,1300
호남제주,1306,1300
지방자치인물,1309,1300
내일시론,2101,2000
신문로,2103,2000
경제시평,2201,2000
정치시평,2202,2000
중국시평,2203,2000
기고,2401,2000
칼럼,2300,2000