page_number,column,ad_type,section_name,layout
101,6,광고없음,"","[[0, 0, 4, 7], [4, 0, 2, 5], [4, 5, 2, 4], [0, 7, 4, 5], [4, 9, 2, 3], [0, 12, 4, 3], [4, 12, 2, 3]]"
21,7,광고없음,기획,"[[0, 0, 5, 7], [5, 0, 2, 4], [5, 4, 2, 3], [0, 7, 5, 3], [5, 7, 2, 4], [0, 10, 5, 5], [5, 11, 2, 4]]"
21,7,광고없음,기획,"[[0, 0, 5, 7], [5, 0, 2, 4], [5, 4, 2, 3], [0, 7, 5, 3], [5, 7, 2, 4], [0, 10, 5, 5], [5, 11, 2, 3], [5, 14, 2, 1]]"
20,7,5단통,기획,"[[0, 0, 7, 7], [0, 7, 7, 3], [0, 10, 7, 5, ""광고_5단통""]]"
101,7,3단통,"","[[0, 0, 5, 7], [5, 0, 2, 5], [5, 5, 2, 5], [0, 7, 2, 5], [2, 7, 3, 5], [5, 10, 2, 2], [0, 12, 7, 3, ""광고_3단통""]]"
1,6,5단통,"","[[0, 1, 4, 4], [4, 1, 2, 5], [0, 5, 2, 5], [2, 5, 2, 5], [4, 6, 2, 4], [0, 10, 6, 5, ""광고_5단통""]]"
21,7,광고없음,기획,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 5, 5], [5, 5, 2, 10], [0, 10, 4, 5], [4, 10, 1, 5]]"
100,7,4단통,"","[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 4], [4, 4, 3, 3], [4, 7, 3, 4], [0, 8, 4, 3], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,7단15,"","[[0, 1, 4, 7], [4, 1, 3, 7], [0, 8, 4, 4], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15""]]"
20,7,5단통,"","[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 4, 3], [4, 7, 1, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
20,7,5단통,"","[[0, 0, 5, 7], [5, 0, 2, 10], [0, 7, 4, 3], [4, 7, 1, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,7단15_홀,"","[[0, 1, 4, 8], [4, 1, 3, 4], [4, 5, 3, 3], [0, 9, 4, 6], [4, 8, 3, 7, ""광고_7단15_홀""]]"
1,7,7단15_홀,"","[[0, 1, 4, 7], [4, 1, 3, 4], [4, 5, 3, 3], [0, 8, 4, 3], [0, 11, 4, 4], [4, 8, 3, 7, ""광고_7단15_홀""]]"
21,7,광고없음,기획,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 5, 6], [5, 6, 2, 5], [5, 11, 2, 4], [0, 12, 5, 3]]"
20,7,5단통,기획,"[[0, 0, 5, 7], [5, 0, 2, 10], [0, 7, 3, 3], [3, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,6,5단통,"","[[0, 1, 3, 3], [3, 1, 3, 4], [0, 4, 3, 4], [3, 5, 3, 5], [0, 8, 3, 2], [0, 10, 6, 5, ""광고_5단통""]]"
20,6,광고없음,"","[[0, 0, 4, 7], [4, 0, 2, 4], [4, 4, 2, 3], [0, 7, 4, 5], [4, 7, 2, 5], [0, 12, 4, 3], [4, 12, 2, 3]]"
101,7,3단통,,"[[0, 0, 7, 7], [0, 7, 5, 5], [5, 7, 2, 5], [0, 12, 7, 3, ""광고_3단통""]]"
1,7,4단통,,"[[0, 1, 4, 6], [4, 1, 3, 4], [4, 5, 3, 3], [0, 7, 2, 4], [2, 7, 2, 4], [4, 8, 3, 3], [0, 11, 7, 4, ""광고_4단통""]]"
100,6,5단통,,"[[0, 0, 3, 5], [3, 0, 3, 5], [0, 5, 3, 5], [3, 5, 3, 5], [0, 10, 6, 5, ""광고_5단통""]]"
1,7,7단15_홀,"","[[0, 1, 4, 8], [4, 1, 3, 7], [0, 9, 4, 4], [0, 13, 4, 2], [4, 8, 3, 7, ""광고_7단15_홀""]]"
1,7,4단통,"","[[0, 1, 3, 5], [3, 1, 2, 5], [5, 1, 2, 5], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,7단15_홀,"","[[0, 1, 4, 7], [4, 1, 3, 7], [0, 8, 4, 7], [4, 8, 3, 7, ""광고_7단15_홀""]]"
1,7,4단통,"","[[0, 1, 7, 8], [0, 9, 4, 2], [4, 9, 3, 2], [0, 11, 7, 4, ""광고_4단통""]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 5], [0, 7, 5, 4], [5, 7, 2, 4], [0, 11, 3, 4], [3, 11, 2, 4], [5, 11, 2, 4]]"
1,7,5단통,"","[[0, 1, 4, 6], [4, 1, 3, 5], [4, 6, 3, 4], [0, 7, 2, 3], [2, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 6], [5, 2, 2, 6], [0, 8, 5, 7], [5, 8, 2, 7]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 7], [0, 7, 5, 4], [5, 9, 2, 6], [0, 11, 5, 4]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 5], [0, 7, 5, 4], [5, 7, 2, 4], [0, 11, 3, 4], [3, 11, 3, 4], [6, 11, 1, 4]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 7], [5, 2, 2, 7], [0, 9, 5, 6], [5, 9, 2, 3], [5, 12, 2, 3]]"
10,7,9단21_짝,금융,"[[0, 0, 7, 2], [0, 2, 4, 4], [4, 2, 3, 4], [4, 6, 3, 4], [4, 10, 3, 5], [0, 6, 4, 9, ""광고_9단21_짝""]]"
10,7,9단21_짝,금융,"[[0, 0, 7, 2], [0, 2, 5, 4], [5, 2, 2, 4], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
10,7,9단21_짝,금융,"[[0, 0, 7, 2], [0, 2, 7, 4], [4, 6, 3, 3], [4, 9, 3, 3], [4, 12, 3, 3], [0, 6, 4, 9, ""광고_9단21_짝""]]"
10,7,9단21_짝,금융,"[[0, 0, 7, 2], [0, 2, 4, 4], [4, 2, 3, 7], [4, 9, 3, 4], [4, 13, 3, 2], [0, 6, 4, 9, ""광고_9단21_짝""]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 7], [0, 7, 4, 5], [4, 7, 1, 5], [5, 9, 2, 6], [0, 12, 3, 3], [3, 12, 2, 3]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 4, 5], [4, 2, 3, 8], [0, 7, 4, 3], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 8], [0, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,6,4단통,"","[[0, 1, 3, 6], [3, 1, 3, 4], [3, 5, 3, 3], [0, 7, 3, 4], [3, 8, 3, 3], [0, 11, 6, 4, ""광고_4단통""]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 5], [0, 7, 5, 4], [5, 7, 2, 4], [0, 11, 5, 4], [5, 11, 2, 4]]"
100,7,5단통,,"[[0, 0, 4, 10], [4, 0, 3, 4], [4, 4, 3, 3], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,6,15단통,,"[[0, 0, 6, 15, ""광고_15단통""]]"
1,7,7단15,,"[[0, 1, 4, 7], [4, 1, 3, 3], [4, 4, 3, 4], [0, 8, 4, 4], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15""]]"
100,7,9단21_짝,,"[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 2], [4, 4, 3, 3], [4, 7, 3, 4], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
100,7,9단21_짝,,"[[0, 0, 5, 6], [5, 0, 2, 6], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
100,7,9단21_짝,,"[[0, 0, 7, 6], [4, 6, 3, 4], [4, 10, 3, 5], [0, 6, 4, 9, ""광고_9단21_짝""]]"
101,7,광고없음,,"[[0, 0, 4, 5], [4, 0, 3, 3], [4, 3, 3, 6], [0, 5, 2, 4], [2, 5, 2, 4], [0, 9, 4, 6], [4, 9, 3, 6]]"
101,6,광고없음,"","[[0, 0, 4, 6], [4, 0, 2, 5], [4, 5, 2, 4], [0, 6, 4, 4], [4, 9, 2, 4], [0, 10, 4, 3], [0, 13, 2, 2], [2, 13, 2, 2], [4, 13, 2, 2]]"
101,7,광고없음,,"[[0, 0, 5, 5], [5, 0, 2, 7], [0, 5, 2, 5], [2, 5, 3, 5], [5, 7, 2, 6], [0, 10, 5, 3], [0, 13, 5, 2], [5, 13, 2, 2]]"
100,7,광고없음,,"[[0, 0, 6, 8], [6, 0, 1, 6], [6, 6, 1, 5], [0, 8, 2, 4], [2, 8, 4, 4], [6, 11, 1, 4], [0, 12, 2, 3], [2, 12, 4, 3]]"
100,6,광고없음,"","[[0, 0, 6, 5], [0, 5, 4, 5], [4, 5, 2, 5], [0, 10, 1, 5], [1, 10, 3, 5], [4, 10, 2, 3], [4, 13, 2, 2]]"
100,7,5단통,,"[[0, 0, 4, 5], [4, 0, 3, 7], [0, 5, 2, 5], [2, 5, 2, 5], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
20,7,9단21_짝,기획,"[[0, 0, 5, 6], [5, 0, 2, 6], [4, 6, 3, 4], [4, 10, 3, 4], [4, 14, 3, 1], [0, 6, 4, 9, ""광고_9단21_짝""]]"
21,7,광고없음,기획,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 5, 4], [5, 7, 2, 4], [0, 11, 5, 4], [5, 11, 2, 4]]"
100,7,광고없음,"","[[0, 0, 4, 6], [4, 0, 3, 4], [4, 4, 3, 4], [0, 6, 4, 5], [4, 8, 3, 4], [0, 11, 2, 4], [2, 11, 2, 4], [4, 12, 3, 3]]"
100,7,광고없음,"","[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 5, 5], [5, 7, 2, 4], [5, 11, 2, 4], [0, 12, 2, 3], [2, 12, 3, 3]]"
1,7,5단통,"","[[0, 1, 4, 4], [4, 1, 3, 9], [0, 5, 4, 3], [0, 8, 4, 2], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,7단15_홀,"","[[0, 1, 4, 5], [4, 1, 3, 7], [0, 6, 4, 3], [0, 9, 4, 3], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15_홀""]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 4, 5], [4, 2, 3, 5], [0, 7, 4, 3], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 5], [0, 7, 5, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 4, 5], [4, 2, 3, 3], [4, 5, 3, 2], [0, 7, 4, 3], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 5], [0, 7, 3, 3], [3, 7, 2, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,5단통,1면,"[[0, 1, 5, 9], [5, 1, 2, 6], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,4단통,1면,"[[0, 1, 7, 7], [0, 8, 4, 3], [4, 8, 3, 3], [0, 11, 7, 4, ""광고_4단통""]]"
100,7,6단통,,"[[0, 0, 4, 4], [4, 0, 3, 3], [4, 3, 3, 3], [0, 4, 4, 3], [4, 6, 3, 3], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 5], [5, 2, 2, 5], [0, 7, 4, 4], [4, 7, 1, 4], [5, 7, 2, 4], [0, 11, 3, 4], [3, 11, 2, 4], [5, 11, 2, 4]]"
1,7,5단통,"","[[0, 1, 4, 4], [4, 1, 3, 5], [0, 5, 4, 3], [4, 6, 3, 4], [0, 8, 4, 2], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,9단21_짝,금융,"[[0, 0, 7, 2], [0, 2, 7, 4], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 4, 8], [4, 2, 3, 5], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,6,광고없음,"","[[0, 0, 2, 4], [2, 0, 2, 4], [4, 0, 2, 4], [0, 4, 2, 4], [2, 4, 2, 4], [4, 4, 2, 4], [0, 8, 2, 4], [2, 8, 2, 4], [4, 8, 2, 4], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
101,7,4단통,,"[[0, 0, 5, 5], [5, 0, 2, 4], [5, 4, 2, 4], [0, 5, 5, 3], [0, 8, 5, 3], [5, 8, 2, 3], [0, 11, 7, 4, ""광고_4단통""]]"
100,7,6단통,,"[[0, 0, 5, 4], [5, 0, 2, 3], [5, 3, 2, 3], [0, 4, 5, 3], [5, 6, 2, 3], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
21,7,광고없음,기획,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 3, 4], [3, 7, 2, 8], [5, 7, 2, 4], [0, 11, 3, 4], [5, 11, 2, 4]]"
1,7,5단통,"","[[0, 1, 3, 9], [3, 1, 4, 6], [3, 7, 4, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,6,4단통,1면,"[[0, 1, 4, 6], [4, 1, 2, 10], [0, 7, 2, 4], [2, 7, 2, 4], [0, 11, 6, 4, ""광고_4단통""]]"
101,6,15단통,,"[[0, 0, 6, 15, ""광고_15단통""]]"
101,7,3단통,,"[[0, 0, 4, 8], [4, 0, 3, 8], [0, 8, 4, 4], [4, 8, 3, 4], [0, 12, 7, 3, ""광고_3단통""]]"
101,7,4단통,,"[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 4], [4, 4, 3, 3], [4, 7, 3, 4], [0, 8, 4, 3], [0, 11, 7, 4, ""광고_4단통""]]"
100,7,5단통,,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 3], [0, 7, 2, 3], [2, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
101,7,6단통,,"[[0, 0, 4, 5], [4, 0, 3, 4], [4, 4, 3, 5], [0, 5, 4, 2], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
101,7,8단27_홀,,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 2, 8], [2, 7, 5, 8, ""광고_8단27_홀""]]"
101,7,9단21_홀,,"[[0, 0, 4, 6], [4, 0, 3, 4], [4, 4, 3, 2], [0, 6, 3, 3], [0, 9, 3, 4], [0, 13, 3, 2], [3, 6, 4, 9, ""광고_9단21_홀""]]"
101,6,광고없음,"","[[0, 0, 4, 8], [4, 0, 2, 3], [4, 3, 2, 3], [4, 6, 2, 3], [0, 8, 3, 4], [3, 8, 1, 4], [4, 9, 2, 3], [0, 12, 4, 3], [4, 12, 2, 3]]"
100,7,광고없음,,"[[0, 0, 5, 5], [5, 0, 2, 3], [5, 3, 2, 3], [0, 5, 5, 4], [5, 6, 2, 3], [0, 9, 3, 6], [3, 9, 2, 6], [5, 9, 2, 3], [5, 12, 2, 3]]"
100,7,광고없음,,"[[0, 0, 5, 7], [5, 0, 2, 8], [0, 7, 4, 3], [4, 7, 1, 6], [5, 8, 2, 4], [0, 10, 4, 3], [5, 12, 2, 3], [0, 13, 2, 2], [2, 13, 3, 2]]"
101,7,광고없음,,"[[0, 0, 7, 4], [0, 4, 4, 3], [4, 4, 3, 4], [0, 7, 4, 3], [4, 8, 3, 3], [0, 10, 3, 5], [3, 10, 1, 5], [4, 11, 3, 4], [0, 13, 2, 2]]"
1,7,5단통,,"[[0, 1, 5, 3], [5, 1, 2, 5], [0, 4, 5, 3], [5, 6, 2, 4], [0, 7, 3, 3], [3, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,4단통,1면,"[[0, 1, 7, 7], [0, 8, 5, 3], [5, 8, 2, 3], [0, 11, 7, 4, ""광고_4단통""]]"
100,6,광고없음,,"[[0, 0, 2, 3], [2, 0, 2, 3], [4, 0, 2, 3], [0, 3, 2, 3], [2, 3, 2, 3], [4, 3, 2, 3], [0, 6, 2, 3], [2, 6, 2, 3], [4, 6, 2, 3], [0, 9, 2, 3], [2, 9, 2, 3], [4, 9, 2, 3], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
101,7,광고없음,"","[[0, 0, 5, 5], [5, 0, 2, 3], [5, 3, 2, 3], [0, 5, 5, 4], [5, 6, 2, 3], [0, 9, 3, 6], [3, 9, 2, 6], [5, 9, 2, 3], [5, 12, 2, 3]]"
100,6,광고없음,,"[[0, 0, 6, 10], [0, 10, 2, 5], [2, 10, 2, 5], [4, 10, 2, 3], [4, 13, 2, 2]]"
101,6,광고없음,,"[[0, 0, 6, 10], [0, 10, 2, 5], [2, 10, 2, 5], [4, 10, 2, 3], [4, 13, 2, 2]]"
100,7,광고없음,,"[[0, 0, 7, 8], [0, 8, 3, 4], [3, 8, 2, 4], [5, 8, 2, 4], [0, 12, 2, 3], [2, 12, 3, 3], [5, 12, 2, 3]]"
100,7,9단21_짝,금융,"[[0, 0, 5, 6], [5, 0, 2, 6], [4, 6, 3, 4], [4, 10, 3, 3], [4, 13, 3, 2], [0, 6, 4, 9, ""광고_9단21_짝""]]"
101,7,광고없음,"","[[0, 0, 4, 6], [4, 0, 3, 4], [4, 4, 3, 4], [0, 6, 4, 5], [4, 8, 3, 4], [0, 11, 2, 4], [2, 11, 2, 4], [4, 12, 3, 3]]"
100,6,3단통,,"[[0, 0, 3, 12], [3, 0, 3, 3], [3, 3, 3, 3], [3, 6, 3, 3], [3, 9, 3, 3], [0, 12, 6, 3, ""광고_3단통""]]"
100,7,광고없음,"","[[0, 0, 5, 5], [5, 0, 2, 3], [5, 3, 2, 5], [0, 5, 2, 5], [2, 5, 3, 4], [5, 8, 2, 3], [2, 9, 3, 6], [0, 10, 2, 3], [5, 11, 2, 4], [0, 13, 2, 2]]"
21,7,9단21_짝,기획,"[[0, 0, 5, 6], [5, 0, 2, 6], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
2,7,5단통,,"[[0, 0, 7, 4], [0, 4, 3, 3], [3, 4, 2, 3], [5, 4, 2, 3], [0, 7, 2, 3], [2, 7, 3, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,5단통,금융,"[[0, 0, 4, 10], [4, 0, 3, 10], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,5단통,금융,"[[0, 0, 4, 7], [4, 0, 3, 10], [0, 7, 4, 3], [0, 10, 7, 5, ""광고_5단통""]]"
10,7,5단통,금융,"[[0, 0, 4, 6], [4, 0, 3, 6], [0, 6, 4, 4], [4, 6, 3, 4], [0, 10, 7, 5, ""광고_5단통""]]"
10,6,5단통,금융,"[[0, 0, 3, 7], [3, 0, 3, 10], [0, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
10,7,광고없음,금융,"[[0, 0, 4, 8], [4, 0, 3, 10], [0, 8, 4, 7], [4, 10, 3, 5]]"
10,7,광고없음,금융,"[[0, 0, 4, 8], [4, 0, 3, 10], [0, 8, 4, 4], [4, 10, 3, 5], [0, 12, 4, 3]]"
10,7,광고없음,금융,"[[0, 0, 5, 9], [5, 0, 2, 9], [0, 9, 4, 6], [4, 9, 3, 6]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 4, 5], [4, 2, 3, 5], [0, 7, 4, 3], [4, 7, 3, 3], [0, 10, 7, 5]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 4, 6], [4, 2, 3, 6], [0, 8, 4, 3], [4, 8, 3, 3], [0, 11, 7, 4]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 4, 6], [4, 2, 3, 6], [0, 8, 4, 4], [4, 8, 3, 4], [0, 12, 7, 3]]"
10,7,광고없음,금융,"[[0, 0, 7, 2], [0, 2, 5, 6], [5, 2, 2, 5], [5, 7, 2, 4], [0, 8, 5, 7], [5, 11, 2, 4]]"
10,7,5단통,금융,"[[0, 0, 7, 2], [0, 2, 5, 8], [5, 2, 2, 8], [0, 10, 7, 5, ""광고_5단통""]]"
22,6,5단통,오피니언,"[[0, 0, 4, 10, ""기고""], [4, 0, 2, 10, ""사설""], [0, 10, 6, 5, ""광고_5단통""]]"
10,7,9단21_짝,금융,"[[0, 0, 7, 2], [0, 2, 4, 4], [4, 2, 3, 13], [0, 6, 4, 9, ""광고_9단21_짝""]]"
22,6,5단통,오피니언,"[[0, 0, 4, 10, ""기고""], [4, 0, 2, 10, ""사설""], [0, 10, 6, 5, ""광고_5단통""]]"
1,6,5단통,"","[[0, 1, 4, 3], [4, 1, 2, 4], [0, 4, 4, 4], [4, 5, 2, 5], [0, 8, 4, 2], [0, 10, 6, 5, ""광고_5단통""]]"
1,7,4단통,1면,"[[0, 1, 3, 10], [3,1, 4, 6], [3, 7, 4, 4], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,4단통,1면,"[[0, 1, 5, 10], [5, 1, 2, 10], [0, 7, 5, 4], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,4단통,1면,"[[0, 1, 5, 6], [5, 1, 2, 10], [0, 7, 5, 4], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,4단통,1면,"[[0, 1, 5, 6], [5, 1, 2, 6], [0, 7, 7, 4], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,4단통,1면,"[[0, 1, 5, 5], [5, 1, 2, 5], [0, 6, 7, 5], [0, 11, 7, 4, ""광고_4단통""]]"
